"Age","Blocks","Color"
"Adult (36-60)",10,"#FF0000"
"Young Child (5-8)",9,"#0000FF"
"Young Child (5-8)",5,"#FF0080"
"Child (9-12)",7,"#FF0080"
"Young Adult (20-35)",10,"#800080"
"Young Child (5-8)",9,"#008000"
"Young Child (5-8)",6,"#FF0080"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",10,"#FF0080"
"Toddler (0-4)",10,"#FF0000"
"Toddler (0-4)",10,"#FF0000"
"Toddler (0-4)",8,"#FF0080"
"Young Child (5-8)",10,"#0000FF"
"Older Adult (61-70)",10,"#0000FF"
"Teen (13-19)",10,"#FF0000"
"Toddler (0-4)",5,"#FFA500"
"Toddler (0-4)",4,"#FFA500"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",8,"#FFD700"
"Young Child (5-8)",10,"#0000FF"
"Young Child (5-8)",10,"#008000"
"Child (9-12)",10,"#FFD700"
"Young Child (5-8)",8,"#0000FF"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",9,"#008000"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",7,"#0000FF"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",8,"#FF0000"
"Young Child (5-8)",8,"#FFA500"
"Child (9-12)",9,"#008000"
"Toddler (0-4)",8,"#0000FF"
"Toddler (0-4)",5,"#FF0080"
"Young Child (5-8)",10,"#FFD700"
"Young Child (5-8)",9,"#FF0080"
"Child (9-12)",9,"#008000"
"Child (9-12)",9,"#FFA500"
"Young Child (5-8)",7,"#800080"
"Young Child (5-8)",7,"#800080"
"Toddler (0-4)",8,"#FFA500"
"Young Child (5-8)",10,"#800080"
"Young Child (5-8)",10,"#FF0080"
"Toddler (0-4)",6,"#0000FF"
"Toddler (0-4)",8,"#FF0080"
"Young Child (5-8)",8,"#0000FF"
"Adult (36-60)",10,"#008000"
"Young Child (5-8)",8,"#008000"
"Adult (36-60)",10,"#008000"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Toddler (0-4)",10,"#FF0000"
"Young Child (5-8)",7,"#0000FF"
"Young Child (5-8)",8,"#800080"
"Young Child (5-8)",8,"#008000"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Child (9-12)",10,"#800080"
"Child (9-12)",10,"#0000FF"
"Young Child (5-8)",7,"#0000FF"
"Child (9-12)",9,"#FF0000"
"Young Child (5-8)",9,"#0000FF"
"Adult (36-60)",10,"#FFA500"
"Young Adult (20-35)",9,"#FF0080"
"Teen (13-19)",10,"#0000FF"
"Young Child (5-8)",9,"#FF0080"
"Child (9-12)",10,"#008000"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",10,"#FF0000"
"Young Child (5-8)",10,"#FFA500"
"Child (9-12)",10,"#800080"
"Young Child (5-8)",10,"#008000"
"Young Adult (20-35)",9,"#008000"
"Older Adult (61-70)",10,"#FF0080"
"Child (9-12)",10,"#008000"
"Child (9-12)",9,"#FF0000"
"Child (9-12)",9,"#0000FF"
"Adult (36-60)",10,"#FF0000"
"Adult (36-60)",10,"#FF0000"
"Adult (36-60)",10,"#0000FF"
"Adult (36-60)",10,"#0000FF"
"Toddler (0-4)",8,"#FF0000"
"Young Child (5-8)",10,"#FF0000"
"Child (9-12)",9,"#800080"
"Child (9-12)",7,"#800080"
"Young Child (5-8)",8,"#FF0080"
"Adult (36-60)",10,"#800080"
